Eje,Metrica,Comunes,UM,Dirección,Meta (%23),Real,Importancia,Cumple %23,Cumple?,Corte,Año Esquema,Pilar ASG
Talleres,02. Indicadores de Negocio,07. Volumen de Ventas Contrato 3625,,$,Arriba es bueno (>= Meta),2,"1,905",2,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,08. Rotacion del Personal,,%,Arriba es malo (<= Meta),"0,05","0,01",3,0,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,09. Revision de Desempeño de N-1 evaluando sus KPI´s,,U,Arriba es bueno (>= Meta),1,1,3,0,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,10. Trabajos no aceptados por el cliente por problemas de calidad,,%,Arriba es malo (<= Meta),"0,02",0,2,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,11. Ahorros de Pemex debido a utilizacion de Sumimsa,x,U,Arriba es bueno (>= Meta),1,1,1,0,SI,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,12. Accidentes de Trabajo,,R,Arriba es malo (<= Meta),"0,02",0,3,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,13. Eventos ambientales,x,U,Arriba es malo (<= Meta),0,0,3,1,Si,2025-12-31T08:00:00Z,25
Talleres,02. Indicadores de Negocio,14. Reporte de Satisfaccion del Cliente,,%,Arriba es bueno (>= Meta),"0,9","0,99",2,1,Si,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,15. Conseguir el Convenio para incorporar las partidas que actualmente estamos suministrando con intercambios.   Debe quedar listo antes de agosto de 2025 y con margenes brutos iguales o superiores al 40%,,%,Arriba es bueno (>= Meta),"0,4","0,25",2,0,No,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,16. Implementacion de GESTIOO al 100% en todas las lineas de servicio,,%,Arriba es bueno (>= Meta),1,"0,8",2,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,17. Conseguir el convenio de Extension de Tiempo del Contrato de Cabezales hasta el 31 de diciembre de 2026 antes del 31 de marzo de 2025,,%,Arriba es malo (<= Meta),1,1,2,1,Si,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,18. Conseguir el Convenio para incorporar las partidas de Estranguladores MasterFlo al Contrato de Cabezales con un precio no menor del 90% del precio del contrato de Valcamex antes del 30 de Junio del 2025,,%,Arriba es bueno (>= Meta),1,"0,5",2,0,No,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,19. Lograr un Monto de Ventas entre los tres contratos > 125 M US $ en el año 2025,,%,Arriba es bueno (>= Meta),1,"0,8",2,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,00. Objetivos,20. Presentar a Pemex la propuesta Tecnica y Economica con los paquetes para el proceso de licitacion o adjudicacion directa para la Construccion de los Equipos de Reparacion de Pozos fabricados en Mexico en conjunto con Loadcraft y Eseasa,,%,Arriba es bueno (>= Meta),1,"0,25",2,0,No,2025-12-31T08:00:00Z,25
Talleres,03. 360,01. Integridad,,%,Arriba es bueno (>= Meta),"0,75","0,83",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,03. 360,02. Efectividad,,%,Arriba es bueno (>= Meta),"0,75","0,78",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,03. 360,03. Trabajo Colaborativo,,%,Arriba es bueno (>= Meta),"0,75","0,76",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,03. 360,04. Responsabilidad,,%,Arriba es bueno (>= Meta),"0,75","0,78",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
Talleres,03. 360,05. Enfoque al Cliente,,%,Arriba es bueno (>= Meta),"0,75","0,75",3,"0,5",Parcial,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,01. Proyectos de TI Entregados a Tiempo (%),,%,Arriba es malo (<= Meta),1,"0,95",1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,02. Tiempo Promedio de Resolución de Tickets (hrs),,Horas,Arriba es malo (<= Meta),12,"8,08",1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,03. Ahorro por Automatización (),,USD,Arriba es bueno (>= Meta),200,301,1,1,Si,2025-12-31T08:00:00Z,25
TI,02. Indicadores de Negocio,04. Reducción en Tiempo de Proceso (%),,%,Arriba es malo (<= Meta),"0,25","0,25",1,1,Si,2025-12-31T08:00:00Z,25
